Date,Team,Acquired,Relinquished,Notes
2024-09-17,Colts,,• DeForest Buckner,placed on IR with ankle injury
2024-09-17,Cowboys,,• Trevon Diggs,"fined $16,883 by NFL for leg whip"
2024-09-17,Dolphins,,• Tua Tagovailoa,placed on IR with concussion
2024-09-17,Giants,,• Graham Gano,placed on IR with hamstring injury
2024-09-17,Packers,,• MarShawn Lloyd,placed on IR with ankle injury
2024-09-17,Steelers,,• Tyler Matakevich,placed on IR with hamstring injury
2024-09-18,Broncos,,• Mike McGlinchey,placed on IR with knee injury
2024-09-18,Chiefs,,• Isiah Pacheco,placed on IR with fractured fibula in leg
2024-09-18,Cowboys,,• Jordan Phillips (a),placed on IR with wrist injury
2024-09-18,Patriots,,• Oshane Ximines,placed on IR with knee injury
2024-09-18,Rams,,• John Johnson III,placed on IR with fractured shoulder
2024-09-18,Rams,,• Jonah Jackson,placed on IR with shoulder injury
2024-09-18,Steelers,,• Ben Skowronek,placed on IR with shoulder injury
2024-09-18,Texans,,• Brevin Jordan,placed on IR with torn ACL in knee (out for season)
2024-09-18,Vikings,,• Nick Muse,placed on IR with hand injury
2024-09-19,Jets,,• Jermaine Johnson II,placed on IR with torn Achilles tendon
2024-09-19,Jets,,• Morgan Moses,knee injury (out)
2024-09-19,Patriots,,• Chukwuma Okorafor / Chuks Okorafor,placed on IR
2024-09-19,Patriots,,• Ja'Whaun Bentley,shoulder injury (out)
2024-09-19,Patriots,,• Sidy Sow,ankle injury (out)
2024-09-19,Patriots,,• Vederian Lowe,knee injury (out)
2024-09-20,49ers,,• George Odum,"fined $11,255 by NFL for excessive facemask"
2024-09-20,Bears,,• T.J. Edwards,"fined $16,883 by NFL for hip-drop tackle"
2024-09-20,Bears,,• Tyrique Stevenson,"fined $8,143 by NFL for taunting"
2024-09-20,Bears,,• Zacch Pickens,"fined $7,000 by NFL for roughing the passer"
2024-09-20,Bengals,,• Andrei Iosivas,"fined $5,305 by NFL for taunting"
2024-09-20,Bengals,,• Ja'Marr Chase,"fined $31,599 by NFL for verbally abusing an official"
2024-09-20,Broncos,,• Luke Wattenberg,"fined $5,872 by NFL for blindside block"
2024-09-20,Broncos,,• P.J. Locke,"fined $13,972 by NFL for hit to a defenseless player"
2024-09-20,Broncos,,• P.J. Locke,"fined $13,972 by NFL for removing helmet on field"
2024-09-20,Buccaneers,,• William Gholston,"fined $7,653 by NFL for roughing the passer"
2024-09-20,Cardinals,,• Mack Wilson,"fined $11,255 by NFL for taunting"
2024-09-20,Chiefs,,• Nick Bolton,"fined $16,883 by NFL for hip-drop tackle"
2024-09-20,Chiefs,,• Xavier Worthy,"fined $11,255 by NFL for taunting"
2024-09-20,Eagles,,• Brandon Graham,"fined $11,255 by NFL for excessive facemask"
2024-09-20,Eagles,,• Chauncey Gardner-Johnson / C.J. Gardner-Johnson,"fined $11,255 by NFL for taunting"
2024-09-20,Falcons,,• Drake London,"fined $14,069 by NFL for obscene gesture"
2024-09-20,Falcons,,• Ray-Ray McCloud,"fined $10,528 by NFL for fighting"
2024-09-20,Jets,,• Chuck Clark,"fined $11,167 by NFL for horse collar tackle"
2024-09-20,Jets,,• Clint Mosley Jr. / C.J. Mosley,"fined $16,883 by NFL"
2024-09-20,Lions,,• Terrion Arnold,"fined $11,255 by NFL for excessive facemask"
2024-09-20,Rams,,• Desjuan Johnson,"fined $5,191 by NFL for hip-drop tackle"
2024-09-20,Saints,,• Derek Carr (Dallas),"fined $14,069 by NFL for obscene gesture"
2024-09-20,Saints,,• Trevor Penning,"fined $11,817 by NFL for fighting"
2024-09-20,Seahawks,,• Anthony Bradford,"fined $6,200 by NFL for fighting"
2024-09-20,Texans,,• Azeez Al-Shaair,"fined $11,817 by NFL for fighting"
2024-09-20,Texans,,• Mario Edwards Jr.,"fined $7,833 by NFL for roughing the passer"
2024-09-20,Texans,,• Nico Collins,"fined $11,817 by NFL for fighting"
2024-09-20,Titans,,• Jeffery Simmons,"fined $16,883 by NFL for roughing the passer"
2024-09-20,Vikings,,• Jihad Ward,"fined $9,667 by NFL for late hit"
2024-09-21,Bears,,• Travis Homer,placed on IR with finger injury
2024-09-21,Broncos,,• Baron Browning,placed on IR with foot injury
2024-09-21,Dolphins,,• Grant DuBose,placed on IR with shoulder injury
2024-09-21,Seahawks,,• George Fant,placed on IR with knee injury
2024-09-21,Steelers,,• Troy Fautanu,placed on IR with knee injury
2024-09-22,49ers,,• Deebo Samuel,calf injury (out)
2024-09-22,Bears,,• Keenan Allen,heel injury (out)
2024-09-22,Bears,,• Khari Blasingame,"hand, knee injuries (out)"
2024-09-22,Bears,,• Terell Smith,hip injury (out)
2024-09-22,Bears,,• Zacch Pickens,groin injury (out)
2024-09-22,Broncos,,• J.L. Skinner,ankle injury (out)
2024-09-22,Browns,,• David Njoku,ankle injury (out)
2024-09-22,Browns,,• Pierre Strong Jr.,hamstring injury (out)
2024-09-22,Browns,,• Wyatt Teller,knee injury (out)
2024-09-22,Buccaneers,,• Antoine Winfield Jr.,foot injury (out)
2024-09-22,Buccaneers,,• Calijah Kancey,calf injury (out)
2024-09-22,Buccaneers,,• Evan Deckers,hamstring injury (out)
2024-09-22,Buccaneers,,• Luke Goedeke,concussion (out)
2024-09-22,Cardinals,,• Jackson Barton,toe injury (out)
2024-09-22,Cardinals,,• Justin Jones (Maurice),triceps injury (out)
2024-09-22,Chargers,,• Joey Bosa,hip injury (out)
2024-09-22,Chargers,,• Junior Colson,hamstring injury (out)
2024-09-22,Colts,,• Kenny Moore II,hip injury (out)
2024-09-22,Colts,,• Kwity Paye,quadriceps injury (out)
2024-09-22,Cowboys,,• Markquese Bell,ankle injury (out)
2024-09-22,Dolphins,,• Kendall Fuller,concussion (out)
2024-09-22,Dolphins,,• Skylar Thompson,chest injury (out)
2024-09-22,Dolphins,,• Terron Armstead,eye injury (out)
2024-09-22,Eagles,,• A.J. Brown,hamstring injury (out)
2024-09-22,Eagles,,• Britain Covey,shoulder injury (out)
2024-09-22,Eagles,,• DeVonta Smith,concussion (out)
2024-09-22,Eagles,,• Lane Johnson,concussion (out)
2024-09-22,Giants,,• Nick McCloud,knee injury (out)
2024-09-22,Lions,,• Alim McNeill,shoulder injury (out)
2024-09-22,Lions,,• Derrick Barnes (Danta),knee injury (out)
2024-09-22,Lions,,• Ennis Rakestraw Jr.,hamstring injury (out)
2024-09-22,Lions,,• Ifeatu Melifonwu,ankle injury (out)
2024-09-22,Packers,,• Jordan Morgan,shoulder injury (out)
2024-09-22,Panthers,,• Adam Thielen,hamstring injury (out)
2024-09-22,Raiders,,• Divine Deablo,"concussion, oblique injury (out)"
2024-09-22,Raiders,,• Marcus Epps,knee injury (out)
2024-09-22,Rams,,• Davis Allen,back injury (out)
2024-09-22,Ravens,,• Jalyn Armour-Davis,hamstring injury (out)
2024-09-22,Ravens,,• Malaesala Aumavae-Laulu,personal reasons (out)
2024-09-22,Saints,,• Erik McCoy,groin injury (out)
2024-09-22,Saints,,• Khalen Saunders,calf injury (out)
2024-09-22,Seahawks,,• Byron Murphy II,hamstring injury (out)
2024-09-22,Seahawks,,• Leonard Williams (Austin),ribs injury (out)
2024-09-22,Seahawks,,• Uchenna Nwosu,knee injury (out)
2024-09-22,Steelers,,• Alex Highsmith,groin injury (out)
2024-09-22,Steelers,,• Cory Trice Jr.,hamstring injury (out)
2024-09-22,Steelers,,• Isaac Seumalo,pectoral injury (out)
2024-09-22,Steelers,,• MyCole Pruitt,knee injury (out)
2024-09-22,Texans,,• Dameon Pierce,hamstring injury (out)
2024-09-22,Vikings,,• Dallas Turner,knee injury (out)
2024-09-22,Vikings,,• Ivan Pace Jr.,"ankle, quadriceps injuries (out)"
2024-09-22,Vikings,,• Jordan Addison,ankle injury (out)
2024-09-23,49ers,,• Javon Hargrave,torn pectoral muscle (out for season)
2024-09-23,Bengals,,• Sheldon Rankins,hamstring injury (out)
2024-09-23,Bengals,,• Tanner Hudson,knee injury (out)
2024-09-23,Bengals,,• Trent Brown,knee injury (out)
2024-09-23,Bills,,• Taron Johnson,forearm injury (out)
2024-09-23,Bills,,• Terrel Bernard,pectoral injury (out)
2024-09-23,Chargers,,• Derwin James Jr.,suspended by NFL for 1 game for repeated violations of playing rules intended to protect the health and safety of players
2024-09-23,Commanders,,• Austin Ekeler,concussion (out)
2024-09-23,Commanders,,• Clelin Ferrell,knee injury (out)
2024-09-23,Jaguars,,• Evan Engram,hamstring injury (out)
2024-09-23,Jaguars,,• Foyesade Oluokun / Foye Oluokun,foot injury (out)
2024-09-23,Jaguars,,• Jarrian Jones,shoulder injury (out)
2024-09-23,Lions,,• Marcus Davenport,elbow injury (out for season)
2024-09-23,Raiders,,• Marcus Epps,torn ACL in knee (out for season)
2024-09-24,Bengals,,• Trent Brown,torn patellar tendon in knee (out for season)
2024-09-24,Buccaneers,,• Evan Deckers,placed on IR with hamstring injury
2024-09-24,Colts,,• Jason Bean,placed on practice squad IR with undisclosed injury
2024-09-24,Eagles,,• Britain Covey,placed on IR with shoulder injury
2024-09-24,Falcons,,• Drew Dalman,placed on IR with ankle injury
2024-09-24,Giants,,• Lawrence Cager,placed on practice squad IR with undisclosed injury
2024-09-24,Lions,,• Derrick Barnes (Danta),placed on IR with knee injury
2024-09-24,Lions,,• Marcus Davenport,placed on IR with triceps injury
2024-09-24,Panthers,,• Adam Thielen,placed on IR with hamstring injury
2024-09-24,Panthers,,• Jordan Fuller,placed on IR with hamstring injury
2024-09-24,Raiders,,• Marcus Epps,placed on IR with torn ACL in knee (out for season)
2024-09-24,Seahawks,,• George Holani,placed on practice squad IR with undisclosed injury
2024-09-24,Steelers,,• Cory Trice Jr.,placed on IR with hamstring injury
2024-09-25,Broncos,,• Alex Singleton,placed on IR with torn ACL in knee
2024-09-25,Browns,,• Wyatt Teller,placed on IR with knee injury
2024-09-25,Cardinals,,• Jackson Barton,placed on practice squad IR with toe injury
2024-09-25,Cardinals,,• Justin Jones (Maurice),placed on IR with triceps injury
2024-09-25,Chargers,,• Derwin James Jr.,placed on reserve/suspended list
2024-09-25,Patriots,,• Ja'Whaun Bentley,placed on IR with pectoral injury
2024-09-25,Saints,,• Erik McCoy,placed on IR with surgery on groin
2024-09-25,Titans,,• Chidobe Awuzie,groin injury (out indefinitely)
2024-09-26,Bears,,• Sam Roberts,placed on practice squad IR with undisclosed injury
2024-09-26,Bills,,• Tylan Grable,placed on IR with groin injury
2024-09-26,Chiefs,,• Baylor Cupp,placed on practice squad IR with undisclosed injury
2024-09-26,Giants,,• Adoree' Jackson,calf injury (out)
2024-09-26,Giants,,• Andru Phillips,calf injury (out)
2024-09-26,Giants,,• Malik Nabers,concussion (out)
2024-09-27,49ers,,• Curtis Robinson,torn ACL in knee (out for season)
2024-09-27,Bears,,• Montez Sweat,"fined $16,883 by NFL for horse collar tackle"
2024-09-27,Chargers,,• Khalil Mack,"fined $16,883 by NFL for roughing the passer"
2024-09-27,Chiefs,,• Jaylen Watson,"fined $5,591 by NFL for horse collar tackle"
2024-09-27,Chiefs,,• Samaje Perine,"fined $8,333 by NFL for impermissible use of the helmet"
2024-09-27,Colts,,• E.J. Speed,"fined $16,883 by NFL for roughing the passer"
2024-09-27,Cowboys,,• CeeDee Lamb,"fined $22,511 by NFL for impermissible use of the helmet"
2024-09-27,Cowboys,,• Markquese Bell,"fined $5,500 by NFL for impermissible use of the helmet"
2024-09-27,Dolphins,,• Alec Ingold,"fined $11,817 by NFL for low block"
2024-09-27,Dolphins,,• Duke Riley,"fined $16,883 by NFL for blindside block"
2024-09-27,Dolphins,,• Kader Kohou,"fined $5,528 by NFL for excessive facemask"
2024-09-27,Eagles,,• Chauncey Gardner-Johnson / C.J. Gardner-Johnson,"fined $16,883 by NFL for taunting"
2024-09-27,Eagles,,• Chauncey Gardner-Johnson / C.J. Gardner-Johnson,"fined $11,255 by NFL for late hit"
2024-09-27,Falcons,,• Justin Simmons,"fined $22,511 by NFL for impermissible use of the helmet"
2024-09-27,Jets,,• Brandon Smith (Nathaniel),placed on practice squad IR with undisclosed injury
2024-09-27,Jets,,• Irvin Charles,"fined $14,069 by NFL for inappropriate gesture"
2024-09-27,Jets,,• Jamien Sherwood,"fined $6,354 by NFL for late hit"
2024-09-27,Lions,,• Brian Branch,"fined $10,128 by NFL for impermissible use of the helmet"
2024-09-27,Lions,,• Brian Branch,"fined $10,128 by NFL for fighting"
2024-09-27,Lions,,• Jalen Reeves-Maybin,"fined $11,255 by NFL for late hit"
2024-09-27,Lions,,• Kerby Joseph,"fined $7,505 by NFL for hit to a defenseless player"
2024-09-27,Packers,,• Josh Jacobs,"fined $45,020 by NFL for impermissible use of the helmet"
2024-09-27,Patriots,,• Rhamondre Stevenson,"fined $11,255 by NFL for unnecessary roughness / excessive facemask"
2024-09-27,Rams,,• Byron Young (b. 1998-03-13),"fined $7,014 by NFL for roughing the passer"
2024-09-27,Rams,,• Christian Rozeboom,"fined $7,778 by NFL for excessive facemask"
2024-09-27,Rams,,• Derion Kendrick,"fined $5,656 by NFL for unsportsmanlike conduct"
2024-09-27,Rams,,• Kamren Kinchens,"fined $5,653 by NFL for unsportsmanlike conduct / taunting"
2024-09-27,Saints,,• Khristian Boyd,"fined $4,665 by NFL for late hit"
2024-09-27,Saints,,• Trevor Penning,"fined $11,255 by NFL for late hit"
2024-09-27,Seahawks,,• Devon Witherspoon,"fined $11,255 by NFL for late hit"
2024-09-27,Seahawks,,• Tyrice Knight,"fined $5,490 by NFL for horse collar tackle"
2024-09-27,Steelers,,• Darnell Washington,"fined $6,760 by NFL for crackback block"
2024-09-27,Titans,,• Chidobe Awuzie,placed on IR with groin injury
2024-09-28,49ers,,• Curtis Robinson,placed on IR with torn ACL in knee (out for season)
2024-09-28,49ers,,• Javon Hargrave,placed on IR with torn pectoral muscle (out for season)
2024-09-28,Bears,,• Stephen Carlson,placed on IR with fractured clavicle
2024-09-28,Bengals,,• Trent Brown,placed on IR with torn patellar tendon in knee (out for season)
2024-09-28,Giants,,• Malik Nabers,"fined $28,128 by NFL for inappropriate gestures"
2024-09-28,Jaguars,,• Foyesade Oluokun / Foye Oluokun,placed on IR with foot injury
2024-09-28,Lions,,• Ifeatu Melifonwu,placed on IR with ankle injury
2024-09-28,Patriots,,• Alex Austin,placed on IR with ankle injury
2024-09-28,Ravens,,• Jalyn Armour-Davis,placed on IR with hamstring injury
2024-09-29,49ers,,• Javon Hargrave,triceps injury (out)
2024-09-29,Bears,,• Terell Smith,hip injury (out)
2024-09-29,Bears,,• Teven Jenkins,ribs injury (out)
2024-09-29,Bears,,• Zacch Pickens,groin injury (out)
2024-09-29,Bengals,,• Sheldon Rankins,hamstring injury (out)
2024-09-29,Bengals,,• Trey Hendrickson,neck injury (out)
2024-09-29,Bills,,• Taron Johnson,forearm injury (out)
2024-09-29,Bills,,• Taylor Rapp,concussion (out)
2024-09-29,Bills,,• Terrel Bernard,pectoral injury (out)
2024-09-29,Broncos,,• J.L. Skinner,ankle injury (out)
2024-09-29,Broncos,,• Tyler Badie,back injury (out)
2024-09-29,Browns,,• David Njoku,ankle injury (out)
2024-09-29,Browns,,• Jack Conklin,hamstring injury (out)
2024-09-29,Browns,,• Jedrick Wills Jr.,knee injury (out)
2024-09-29,Browns,,• Pierre Strong Jr.,hamstring injury (out)
2024-09-29,Buccaneers,,• Antoine Winfield Jr.,foot injury (out)
2024-09-29,Buccaneers,,• Calijah Kancey,calf injury (out)
2024-09-29,Buccaneers,,• SirVocea Dennis,shoulder injury (out)
2024-09-29,Buccaneers,,• Trey Palmer,concussion (out)
2024-09-29,Cardinals,,• Khyiris Tonga,knee injury (out)
2024-09-29,Cardinals,,• Trey McBride,concussion (out)
2024-09-29,Chargers,,• Joey Bosa,hip injury (out)
2024-09-29,Chargers,,• Junior Colson,hamstring injury (out)
2024-09-29,Chargers,,• Rashawn Slater,pectoral injury (out)
2024-09-29,Chiefs,,• Michael Danna / Mike Danna,calf injury (out)
2024-09-29,Chiefs,,• Rashee Rice,knee injury (out)
2024-09-29,Colts,,• Anthony Richardson,hip injury (out)
2024-09-29,Colts,,• Kenny Moore II,hip injury (out)
2024-09-29,Colts,,• Kwity Paye,quadriceps injury (out)
2024-09-29,Commanders,,• Austin Ekeler,concussion (out)
2024-09-29,Commanders,,• Clelin Ferrell,knee injury (out)
2024-09-29,Commanders,,• Jamison Crowder,calf injury (out)
2024-09-29,Commanders,,• Nick Allegretti,ankle injury (out)
2024-09-29,Eagles,,• Devin White,personal reasons (out)
2024-09-29,Eagles,,• DeVonta Smith,concussion (out)
2024-09-29,Eagles,,• Reed Blankenship,illness (out)
2024-09-29,Falcons,,• Kaleb McGary,knee injury (out)
2024-09-29,Jaguars,,• Evan Engram,hamstring injury (out)
2024-09-29,Jets,,• Morgan Moses,knee injury (out)
2024-09-29,Packers,,• Christian Watson,ankle injury (out)
2024-09-29,Packers,,• Devonte Wyatt,ankle injury (out)
2024-09-29,Packers,,• Jordan Morgan,shoulder injury (out)
2024-09-29,Panthers,,• Damien Lewis,elbow injury (out)
2024-09-29,Panthers,,• Lonnie Johnson Jr.,hip injury (out)
2024-09-29,Panthers,,• Shy Tuttle,foot injury (out)
2024-09-29,Patriots,,• David Andrews,shoulder injury (out)
2024-09-29,Patriots,,• Kyle Dugger,ankle injury (out)
2024-09-29,Patriots,,• Michael Jordan / Mike Jordan (b. 1998-01-25),ankle injury (out)
2024-09-29,Patriots,,• Vederian Lowe,knee injury (out)
2024-09-29,Raiders,,• Davante Adams,hamstring injury (out)
2024-09-29,Raiders,,• Decamerion Richardson,hamstring injury (out)
2024-09-29,Raiders,,• Divine Deablo,oblique injury (out)
2024-09-29,Raiders,,• Michael Mayer,personal reasons (out)
2024-09-29,Raiders,,• Tyreik Mcallister,shoulder injury (out)
2024-09-29,Rams,,• Cooper Kupp,ankle injury (out)
2024-09-29,Saints,,• A.T. Perry,hamstring injury (out)
2024-09-29,Saints,,• Cesar Ruiz,knee injury (out)
2024-09-29,Saints,,• Demario Davis,hamstring injury (out)
2024-09-29,Saints,,• Taysom Hill,abdominal injury (out)
2024-09-29,Saints,,• Willie Gay Jr.,hand injury (out)
2024-09-29,Steelers,,• Alex Highsmith,groin injury (out)
2024-09-29,Steelers,,• Cordarrelle Patterson,ankle injury (out)
2024-09-29,Steelers,,• James Daniels (b. 1997-09-13),ankle injury (out)
2024-09-29,Steelers,,• Jaylen Warren,knee injury (out)
2024-09-29,Steelers,,• MyCole Pruitt,knee injury (out)
2024-09-29,Texans,,• Dameon Pierce,hamstring injury (out)
2024-09-29,Texans,,• Jimmie Ward,groin injury (out)
2024-09-29,Texans,,• Nathaniel Dell / Tank Dell,chest injury (out)
2024-09-30,Bengals,• Brad Robbins,,activated from IR
2024-09-30,Dolphins,,• Jaelan Phillips,knee injury (out)
2024-09-30,Dolphins,,• Jordan Poyer,shin injury (out)
2024-09-30,Dolphins,,• Kendall Fuller,concussion (out)
2024-09-30,Dolphins,,• Terron Armstead,concussion (out)
2024-09-30,Lions,,• Frank Ragnow,pectoral injury (out)
2024-09-30,Panthers,,• Shaq Thompson,torn Achilles tendon (out for season)
2024-09-30,Seahawks,,• Boye Mafe,knee injury (out)
2024-09-30,Seahawks,,• Byron Murphy II,hamstring injury (out)
2024-09-30,Seahawks,,• Julian Love,thigh injury (out)
2024-09-30,Seahawks,,• Leonard Williams (Austin),ribs injury (out)
2024-09-30,Seahawks,,• Uchenna Nwosu,knee injury (out)
2024-09-30,Titans,,• Keondre Coburn,knee injury (out)
2024-09-30,Chargers,• Derwin James Jr.,,reinstated from suspension
2024-10-01,Bills,,• Von Miller,suspended by NFL for 4 games for violating the league's personal conduct policy
2024-10-01,Browns,,• Michael Hall Jr. / Mike Hall Jr.,suspended by NFL for 5 games for violating the league's personal conduct policy
2024-10-01,Buccaneers,,• SirVocea Dennis,placed on IR
2024-10-01,Chargers,,• Nick Niemann,placed on IR
2024-10-01,Colts,,• Tyquan Lewis,placed on IR
2024-10-01,Cowboys,,• Demarcus Lawrence,placed on IR
2024-10-01,Steelers,,• James Daniels (b. 1997-09-13),placed on IR
2024-10-02,Cardinals,,• Angelo Blackson,placed on practice squad IR with undisclosed injury
2024-10-02,Commanders,,• Jamison Crowder,placed on IR with calf injury
2024-10-02,Dolphins,,• Jaelan Phillips,knee injury (out for season)
2024-10-02,Patriots,,• David Andrews,surgery on shoulder (out for season)
2024-10-03,Browns,,• Alex Wright,surgery on triceps (out for season)
2024-10-03,Buccaneers,,• Antoine Winfield Jr.,foot injury (out)
2024-10-03,Buccaneers,,• Calijah Kancey,calf injury (out)
2024-10-03,Buccaneers,,• Jalen McMillan,hamstring injury (out)
2024-10-03,Buccaneers,,• Trey Palmer,concussion (out)
2024-10-03,Chiefs,,• Rashee Rice,placed on IR with knee injury
2024-10-03,Dolphins,,• Jaelan Phillips,placed on IR with knee injury (out for season)
2024-10-03,Falcons,,• DeAundre Alford / Dee Alford,concussion (out)
2024-10-03,Falcons,,• Troy Andersen,knee injury (out)
2024-10-04,Bills,,• Dawuane Smoot,"fined $8,156 by NFL for unnecessary roughness"
2024-10-04,Browns,,• Alex Wright,"Fined $7,743 by NFL for roughing the passer"
2024-10-04,Chargers,,• Denzel Perryman,"fined $66,666 by NFL for impermissible use of the helmet"
2024-10-04,Chargers,,• Khalil Mack,"fined $22,511 by NFL for impermissible use of the helmet"
2024-10-04,Colts,,• Isaiah Land,"fined $5,083 by NFL for roughing the passer"
2024-10-04,Commanders,,• Jeremy McNichols,"fined $6,250 by NFL for obscene/violent gestures"
2024-10-04,Cowboys,,• CeeDee Lamb,"fined $25,324 by NFL for obscene/violent gestures"
2024-10-04,Cowboys,,• CeeDee Lamb,"fined $11,255 by NFL for taunting"
2024-10-04,Dolphins,,• Emmanuel Ogbah,"fined $11,255 by NFL for excessive facemask"
2024-10-04,Dolphins,,• Jaelan Phillips,"fined $16,883 by NFL for low hit / roughing the passer"
2024-10-04,Eagles,,• Kenneth Gainwell,"fined $6,327 by NFL for low block"
2024-10-04,Eagles,,• Nakobe Dean,"fined $7,886 by NFL for hip-drop tackle"
2024-10-04,Falcons,,• Matthew Bergeron,"fined $11,255 by NFL for excessive facemask"
2024-10-04,Jets,,• Allen Lazard,"fined $14,069 by NFL for obscene/violent gestures"
2024-10-04,Jets,,• John Simpson (b. 1997-08-19),"fined $16,883 by NFL for leg whip"
2024-10-04,Lions,,• Jameson Williams,"fined $14,069 by NFL for unsportsmanlike conduct"
2024-10-04,Panthers,,• Xavier Woods (a),"fined $11,255 by NFL for late hit"
2024-10-04,Patriots,,• Caedan Wallace,placed on IR with ankle injury
2024-10-04,Patriots,,• David Andrews,placed on IR recovering from surgery on shoulder (out for season)
2024-10-04,Raiders,,• Adam Butler,"fined $9,653 by NFL for taunting"
2024-10-04,Raiders,,• Adam Butler,"fined $9,653 by NFL for roughing the passer"
2024-10-04,Rams,• Larrell Murchison,,activated from IR
2024-10-04,Saints,,• Alontae Taylor,"fined $10,916 by NFL for obscene/violent gestures"
2024-10-04,Saints,,• Marshon Lattimore,"fined $14,069 by NFL for obscene/violent gestures"
2024-10-04,Seahawks,,• Zach Charbonnet,"fined $45,020 by NFL for impermissible use of the helmet"
2024-10-04,Steelers,,• Broderick Jones,"fined $11,255 by NFL for late hit"
2024-10-04,Texans,,• Nico Collins,"fined $22,511 by NFL for unnecessary roughness / impermissible use of the helmet"
2024-10-05,49ers,,• Yetur Gross-Matos,placed on IR with knee injury
2024-10-05,49ers,• Kalia Davis,,activated from IR
2024-10-05,Bengals,• McKinnley Jackson,,activated from IR
2024-10-05,Bengals,• Myles Murphy (a),,activated from IR
2024-10-05,Broncos,,• Tyler Badie,placed on IR with back injury
2024-10-05,Browns,,• Alex Wright,placed on IR recovering from surgery on triceps (out for season)
2024-10-05,Browns,• Michael Dunn,,activated from non-football injury list
2024-10-05,Commanders,• Marcus Mariota,,activated from IR
2024-10-05,Cowboys,,• Brandin Cooks,placed on IR with infection in knee
2024-10-05,Dolphins,• Odell Beckham Jr.,,activated from reserve/physically unable to perform list
2024-10-05,Giants,• Matthew Adams / Matt Adams,,activated from IR
2024-10-05,Packers,,• Matt LaFleur,"fined as head coach $14,069 by NFL for unsportsmanlike conduct"
2024-10-05,Packers,,• Romeo Doubs,suspended by NFL for 1 game for conduct detrimental to the team
2024-10-05,Panthers,,• Shaq Thompson,surgery to repair torn Achilles tendon (out for season)
2024-10-05,Panthers,,• Shaq Thompson,placed on IR recovering from surgery to repair torn Achilles tendon (out for season)
2024-10-05,Patriots,• Kendrick Bourne,,activated from reserve/physically unable to perform list
2024-10-05,Patriots,• Marte Mapu,,activated from IR
2024-10-05,Raiders,,• Luke Masterson,placed on IR with knee injury
2024-10-05,Rams,,• Larrell Murchison,placed on IR with foot injury
2024-10-05,Rams,• Darious Williams,,activated from IR
2024-10-05,Steelers,• Jeremiah Moon,,activated from IR
2024-10-05,Texans,,• Jerry Hughes,placed on IR with hip injury
2024-10-05,Texans,• Dylan Horton,,activated from non-football injury list
2024-10-06,49ers,,• Demetrius Flannigan-Fowles,calf injury (out)
2024-10-06,49ers,,• Jake Moody,right ankle injury (out)
2024-10-06,49ers,,• Talanoa Hufanga,wrist injury (out)
2024-10-06,Bears,,• Terell Smith,hip injury (out)
2024-10-06,Bears,,• Zacch Pickens,groin injury (out)
2024-10-06,Bengals,,• Daxton Hill / Dax Hill,knee injury (out)
2024-10-06,Bills,,• Austin Johnson (Hunter),oblique injury (out)
2024-10-06,Bills,,• Ed Oliver (b. 1997-12-12),hamstring injury (out)
2024-10-06,Bills,,• Khalil Shakir,ankle injury (out)
2024-10-06,Bills,,• Taylor Rapp,concussion (out)
2024-10-06,Broncos,,• Alex Palczewski,ankle injury (out)
2024-10-06,Browns,,• Charley Hughlett,ribs injury (out)
2024-10-06,Browns,,• Denzel Ward,hamstring injury (out)
2024-10-06,Browns,,• Jordan Hicks (b. 1992-06-27),"elbow, ribs injuries (out)"
2024-10-06,Cardinals,,• Garrett Williams,groin injury (out)
2024-10-06,Cardinals,,• Isaiah Adams,thumb injury (out)
2024-10-06,Cardinals,,• Will Hernandez,knee injury (out)
2024-10-06,Colts,,• Jonathan Taylor,ankle injury (out)
2024-10-06,Colts,,• Kenny Moore II,hip injury (out)
2024-10-06,Colts,,• Kwity Paye,quadriceps injury (out)
2024-10-06,Colts,,• Will Fries,shin injury (out)
2024-10-06,Commanders,,• Clelin Ferrell,knee injury (out)
2024-10-06,Commanders,,• Noah Brown,groin injury (out)
2024-10-06,Cowboys,,• Marshawn Kneeland,knee injury (out)
2024-10-06,Cowboys,,• Micah Parsons,ankle injury (out)
2024-10-06,Dolphins,,• De'Von Achane,concussion (out)
2024-10-06,Dolphins,,• Jordan Poyer,shin injury (out)
2024-10-06,Giants,,• Malik Nabers,concussion (out)
2024-10-06,Jets,,• Morgan Moses,knee injury (out)
2024-10-06,Packers,,• Devonte Wyatt,ankle injury (out)
2024-10-06,Panthers,,• Andrew Raym,concussion (out)
2024-10-06,Panthers,,• Jadeveon Clowney,shoulder injury (out)
2024-10-06,Panthers,,• Josey Jewell,"groin, hamstring injuries (out)"
2024-10-06,Panthers,,• Taylor Moton,elbow injury (out)
2024-10-06,Panthers,,• Tommy Tremble,concussion (out)
2024-10-06,Raiders,,• Christian Wilkins,foot injury (out)
2024-10-06,Raiders,,• Davante Adams,hamstring injury (out)
2024-10-06,Raiders,,• Decamerion Richardson,hamstring injury (out)
2024-10-06,Raiders,,• Michael Mayer,personal reasons (out)
2024-10-06,Raiders,,• Thayer Munford Jr.,"ankle, knee injuries (out)"
2024-10-06,Raiders,,• Zamir White,groin injury (out)
2024-10-06,Rams,,• Cooper Kupp,ankle injury (out)
2024-10-06,Seahawks,,• Byron Murphy II,hamstring injury (out)
